b'time,Year,Month,Day,Hour,latitude,longitude,country,state,county,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-11-10T08:42:42.850Z,2014,11,10,8,32.8666667,-118.6535,us,California,San Clemente Island,5.12,4.11,mw,10,237,0.1441,0.18,ci,ci37286720,2016-11-02T16:55:17.388Z,"19km SSW of San Clemente Is. (NW tip), CA",earthquake,0.86,1.88,,6,reviewed,ci,ci
2014-11-12T14:42:55.657Z,2014,11,12,14,41.8812,-119.6545,us,Nevada,Washoe County,1.5596,4.11,ml,6,76.98,0.483,0.1411,nn,nn00467446,2015-03-20T18:41:57.511Z,"66km ESE of Lakeview, Oregon",earthquake,6.6306,5.2861,0.41,4,reviewed,nn,nn
2015-03-27T13:30:14.330Z,2015,3,27,13,36.2271667,-120.3528333,us,California,Fresno County,10.44,4.11,mw,86,50,0.02352,0.1,nc,nc72418390,2016-03-11T13:32:05.065Z,"9km N of Coalinga, California",earthquake,0.15,0.27,,10,reviewed,nc,nc
2016-01-24T15:32:16.360Z,2016,1,24,15,34.6971667,-116.2391667,us,California,San Bernardino County,2.61,4.11,mw,44,43,0.07372,0.16,ci,ci37299263,2016-08-18T16:48:01.477Z,"8km WSW of Ludlow, CA",earthquake,0.15,0.43,,6,reviewed,ci,ci
2016-10-27T06:37:23.630Z,2016,10,27,6,40.3461667,-124.5465,us,California,Humboldt County,23.97,4.11,mw,37,233,0.199,0.17,nc,nc72716540,2016-10-31T19:00:48.615Z,"31km SW of Ferndale, California",earthquake,0.6,0.48,,4,reviewed,nc,nc
2000-01-30T19:10:23.470Z,2000,1,30,19,45.1971667,-120.1248333,us,Oregon,Gilliam County,-0.655,4.1,md,33,160,0.3099,0.45,uw,uw10512813,2016-07-22T23:46:53.690Z,Oregon,earthquake,0.248,5.76,0.04,9,reviewed,uw,uw
2000-04-08T11:30:22.030Z,2000,4,8,11,46.342,-111.41,us,Montana,Broadwater County,4.7,4.1,ml,,,,,us,usp0009r04,2014-11-07T01:09:52.444Z,western Montana,earthquake,,,,,reviewed,but,but
2000-08-13T18:17:48.540Z,2000,8,13,18,40.366,-124.487,us,California,Humboldt County,16.9,4.1,mwr,51,,,,us,usp0009yd7,2014-11-07T01:10:51.484Z,offshore Northern California,earthquake,,,,,reviewed,nc,brk
2000-12-27T13:15:11.350Z,2000,12,27,13,40.468,-124.447,us,California,Humboldt County,28.7,4.1,mwr,71,,,,us,usp000a6t6,2015-01-28T20:03:13.082Z,offshore Northern California,earthquake,,,,,reviewed,nc,brk
2001-02-11T23:04:06.550Z,2001,2,11,23,36.794,-121.512,us,California,San Benito County,6.7,4.1,ml,33,,,,us,usp000a9gp,2015-01-28T07:52:33.263Z,Central California,earthquake,,,,,reviewed,nc,brk
2001-02-17T22:54:19.500Z,2001,2,17,22,38.25,-118.29,us,Nevada,Mineral County,12.4,4.1,ml,42,,,,us,usp000a9u0,2014-11-07T01:12:09.904Z,Nevada,earthquake,,,,,reviewed,ren,ren
2001-02-23T21:43:50.000Z,2001,2,23,21,38.73,-112.56,us,Utah,Millard County,0.9,4.1,ml,69,,,,us,usp000aa7c,2014-11-07T01:12:11.256Z,Utah,earthquake,,,,,reviewed,slc,slc
2001-03-11T10:11:07.430Z,2001,3,11,10,39.488,-122.948,us,California,Lake County,17.3,4.1,mw,37,,,,us,usp000ab7j,2014-11-07T01:12:19.985Z,Northern California,earthquake,,,,,reviewed,nc,brk
2001-05-17T22:56:45.850Z,2001,5,17,22,35.796,-118.0461667,us,California,Tulare County,7.192,4.1,ml,43,32,0.06927,0.13,ci,ci9653493,2016-04-02T17:42:36.753Z,"20km SW of Little Lake, CA",earthquake,0.25,1.17,0.285,273,reviewed,ci,ci
2001-07-02T17:33:53.670Z,2001,7,2,17,36.696,-121.328,us,California,San Benito County,4.7,4.1,mw,36,,,,us,usp000ahvu,2015-01-28T13:48:46.786Z,Central California,earthquake,,,,,reviewed,nc,brk
2002-09-21T00:55:20.960Z,2002,9,21,0,48.4848333,-123.1265,us,Washington,San Juan County,23.118,4.1,md,57,78,,0.35,uw,uw10565603,2016-09-01T18:41:16.702Z,"San Juan Islands region, Washington",earthquake,0.672,1,0.04,2,reviewed,uw,uw
2002-11-30T09:29:25.920Z,2002,11,30,9,44.769,-115.515,us,Idaho,Valley County,10,4.1,ml,59,,,,us,usp000bjs3,2014-11-07T01:17:12.678Z,southern Idaho,earthquake,,,,,reviewed,sea,us
2003-02-02T18:22:58.290Z,2003,2,2,18,37.742,-121.942,us,California,Contra Costa County,16.7,4.1,mw,38,,,,us,usp000bpv7,2015-01-28T03:07:25.766Z,"San Francisco Bay area, California",earthquake,,,,,reviewed,nc,brk
2003-02-02T18:47:38.760Z,2003,2,2,18,37.748,-121.946,us,California,Contra Costa County,16.9,4.1,mw,37,,,,us,usp000bpv9,2015-01-28T06:36:48.310Z,"San Francisco Bay area, California",earthquake,,,,,reviewed,nc,brk
2003-02-22T14:16:08.420Z,2003,2,22,14,34.3241667,-116.858,us,California,San Bernardino County,2.549,4.1,ml,89,17.2,,0.24,ci,ci13936432,2016-04-02T19:09:40.692Z,"7km N of Big Bear City, CA",earthquake,0.21,0.42,0.464,131,reviewed,ci,ci
2003-12-22T20:41:44.460Z,2003,12,22,20,35.668,-121.0593333,us,California,San Luis Obispo County,7.82,4.1,ml,8,58,0.43,0.22,ci,ci9966561,2016-04-02T13:26:10.401Z,"12km N of Cambria, CA",earthquake,1.7,19.19,0.213,59,reviewed,ci,ci
2004-10-08T16:32:32.425Z,2004,10,8,16,38.6873,-115.4114,us,Nevada,Nye County,1.1,4.1,ml,15,89.56,0.365,0.1039,nn,nn00116291,2015-11-17T22:44:09.343Z,"8km SE of Currant, Nevada",earthquake,4.72,3.4,0.38,11,reviewed,nn,nn
2004-11-07T06:54:59.000Z,2004,11,7,6,38.236,-108.915,us,Colorado,Montrose County,0.6,4.1,ml,55,44.5,,,us,usp000d7vf,2015-01-29T02:54:42.723Z,Colorado,earthquake,,,,,reviewed,slc,slc
2005-02-05T18:43:30.410Z,2005,2,5,18,37.395,-121.487,us,California,Santa Clara County,7,4.1,mwr,48,107.4,,,us,usp000dfjh,2015-01-28T07:34:36.481Z,Northern California,earthquake,,,,,reviewed,nc,brk
2005-02-10T14:04:53.790Z,2005,2,10,14,35.7591667,-90.2498333,us,Arkansas,Mississippi County,15.48,4.1,mw,36,63,,0.09,nm,nm605688,2016-04-26T20:48:41.301Z,"6km E of Caraway, Arkansas",earthquake,0.4,0.5,0.251,16,reviewed,nm,nm
2005-05-08T08:43:55.320Z,2005,5,8,8,38.378,-122.166,us,California,Napa County,9.6,4.1,mwr,38,98.3,,,us,usp000dq6m,2015-01-28T05:03:01.024Z,Northern California,earthquake,,,,,reviewed,nc,brk
2005-05-23T19:59:58.670Z,2005,5,23,19,35.672,-121.082,us,California,San Luis Obispo County,5.4,4.1,ml,27,210.9,,,us,usp000drf0,2014-11-07T01:25:57.697Z,Central California,earthquake,,,,,reviewed,nc,nc
2005-08-10T22:08:16.960Z,2005,8,10,22,36.952,-104.822,us,New Mexico,Colfax County,5,4.1,mb,115,27.8,,0.78,us,usp000dx3j,2015-03-24T00:44:59.772Z,New Mexico,earthquake,,,,25,reviewed,us,us
2005-10-18T04:08:41.520Z,2005,10,18,4,34.0141667,-116.7753333,us,California,Riverside County,15.676,4.1,ml,93,18,0.181,0.2,ci,ci10148369,2016-03-07T23:54:31.225Z,"11km N of Cabazon, CA",earthquake,0.2,0.85,0.12,387,reviewed,ci,ci
2005-12-19T20:27:40.370Z,2005,12,19,20,32.528,-104.549,us,New Mexico,Eddy County,5,4.1,mwr,45,54.4,,0.85,us,usp000e6f9,2015-03-24T01:48:26.590Z,New Mexico,earthquake,,,,,reviewed,us,slm
2006-06-18T00:05:32.400Z,2006,6,18,0,45.602,-111.902,us,Montana,Madison County,11.5,4.1,mwr,123,26.6,,,us,usp000eknw,2014-11-07T01:29:23.708Z,western Montana,earthquake,,,,,reviewed,but,slm
2006-06-30T16:55:01.000Z,2006,6,30,16,42.432,-111.567,us,Idaho,Bear Lake County,0.3,4.1,mwr,79,21.7,,,us,usp000emn9,2015-01-28T22:51:46.384Z,southern Idaho,earthquake,,,,,reviewed,slc,slm
2006-11-09T08:38:13.000Z,2006,11,9,8,39.358,-123.286,us,California,Mendocino County,7.9,4.1,mwr,20,187.6,,,us,usp000ewza,2015-01-28T11:36:35.948Z,Northern California,earthquake,,,,,reviewed,nc,brk
2007-01-24T11:30:16.099Z,2007,1,24,11,37.4133,-117.0986,us,Nevada,Nye County,6.1,4.1,ml,28,101.11,0.171,0.1541,nn,nn00197036,2016-03-09T10:55:30.888Z,"34km SSE of Goldfield, Nevada",earthquake,1.08,3.4,,,reviewed,nn,nn
2007-04-05T22:54:29.000Z,2007,4,5,22,40.311,-124.578,us,California,Humboldt County,18.8,4.1,mwr,37,215.9,,,us,usp000f8tq,2015-01-28T19:37:19.514Z,offshore Northern California,earthquake,,,,,reviewed,nc,brk
2007-04-07T23:55:03.000Z,2007,4,7,23,40.615,-124.752,us,California,Humboldt County,7.6,4.1,mwr,34,222.7,,,us,usp000f90v,2014-11-07T01:32:08.507Z,offshore Northern California,earthquake,,,,,reviewed,nc,brk
2007-08-18T13:16:31.000Z,2007,8,18,13,38.071,-113.305,us,Utah,Iron County,7.1,4.1,mwr,34,47,,,us,usp000fk49,2014-11-07T01:33:18.965Z,Utah,earthquake,,,,,reviewed,slc,slm
2007-11-09T03:37:09.900Z,2007,11,9,3,40.577,-124.472,us,California,Humboldt County,26.8,4.1,mwr,50,209.9,,,us,usp000fs7s,2015-01-28T16:57:31.254Z,offshore Northern California,earthquake,,,,,reviewed,nc,brk
2007-11-26T06:27:32.000Z,2007,11,26,6,46.92,-108.87,us,Montana,Fergus County,1.8,4.1,ml,53,49.5,,,us,usp000ftb9,2015-03-24T00:52:51.100Z,eastern Montana,earthquake,,,,,reviewed,but,but
2008-02-21T15:34:25.466Z,2008,2,21,15,41.1318,-114.9066,us,Nevada,Elko County,5.3,4.1,ml,13,132.94,0.297,0.1743,nn,nn00234461,2015-11-17T13:13:40.104Z,"5km ENE of Wells, Nevada",earthquake,2.74,2.7,0.25,9,reviewed,nn,nn
2008-02-28T15:10:37.755Z,2008,2,28,15,41.153,-114.9237,us,Nevada,Elko County,8.1,4.1,ml,17,118.23,0.024,0.1149,nn,nn00236336,2015-11-17T09:57:40.879Z,"5km NE of Wells, Nevada",earthquake,1.26,0.8,0.21,6,reviewed,nn,nn
2008-04-24T22:55:48.953Z,2008,4,24,22,39.5297,-119.9332,us,Nevada,Washoe County,2.9,4.1,ml,49,50.11,0.002,0.1217,nn,nn00242164,2016-03-09T09:56:59.454Z,"1km NNW of Mogul, Nevada",earthquake,0.5,0.5,0.18,4,reviewed,nn,nn
2008-06-28T14:44:11.130Z,2008,6,28,14,37.5916667,-118.8135,us,California,Mono County,3.637,4.1,mh,8,93,0.04242,0.17,ci,ci14377856,2016-03-09T16:44:43.830Z,"15km ESE of Mammoth Lakes, CA",earthquake,1.31,31.61,,0,reviewed,ci,ci
2009-07-29T10:00:36.710Z,2009,7,29,10,36.799,-104.831,us,New Mexico,Colfax County,5,4.1,mwr,68,42.8,,1.31,us,usp000gzsh,2015-03-24T02:15:44.396Z,New Mexico,earthquake,,,,,reviewed,us,us
2010-01-07T18:09:35.100Z,2010,1,7,18,37.476,-121.797,us,California,Alameda County,5.417,4.1,mh,8,320,1.814,1.89,ci,ci14569748,2016-03-10T22:56:06.497Z,"11km N of East Foothills, CA",earthquake,99,99,,0,reviewed,ci,ci
2010-01-10T06:32:17.020Z,2010,1,10,6,40.309,-124.632,us,California,Humboldt County,17.1,4.1,mwr,64,217.6,,,us,usp000h5x6,2015-01-28T22:50:48.804Z,offshore Northern California,earthquake,,,,,reviewed,nc,brk
2010-01-11T06:44:37.890Z,2010,1,11,6,40.463,-124.849,us,California,Humboldt County,24.1,4.1,mwr,27,226.4,,,us,usp000h5yc,2015-01-30T17:52:29.375Z,offshore Northern California,earthquake,,,,,reviewed,nc,brk
2010-02-13T21:39:06.600Z,2010,2,13,21,34.0045,-117.1796667,us,California,San Bernardino County,8.025,4.1,ml,112,33,0.06383,0.25,ci,ci10541957,2016-03-10T14:39:19.396Z,"6km S of Redlands, CA",earthquake,0.2,0.92,0.127,338,reviewed,ci,ci
2010-02-27T22:22:27.310Z,2010,2,27,22,35.553,-96.752,us,Oklahoma,Lincoln County,5,4.1,mwr,79,44.5,,1.01,us,usp000h81j,2015-03-24T01:38:20.661Z,Oklahoma,earthquake,,4,,,reviewed,us,us
2010-03-28T00:03:55.080Z,2010,3,28,0,32.438,-104.501,us,New Mexico,Eddy County,4,4.1,mwr,134,120.2,,1.32,us,usp000ha1w,2015-03-24T01:40:35.246Z,New Mexico,earthquake,,,,,reviewed,us,us
2010-06-15T04:36:07.550Z,2010,6,15,4,32.6996667,-115.9115,us,California,Imperial County,7.411,4.1,ml,38,121,0.1577,0.21,ci,ci14745636,2016-03-10T12:18:27.331Z,"9km ESE of Ocotillo, CA",earthquake,0.52,1.17,0.181,101,reviewed,ci,ci
2010-08-17T02:49:55.800Z,2010,8,17,2,43.593,-110.344,us,Wyoming,Teton County,5,4.1,mwr,102,17.9,,1.33,us,usp000hjav,2015-03-24T01:11:21.947Z,Wyoming,earthquake,,,,,reviewed,us,us
2010-10-11T13:33:40.190Z,2010,10,11,13,35.3038333,-92.3166667,us,Arkansas,Faulkner County,4.94,4.1,mw,19,78,0.02651,0.24,nm,nm607604,2016-04-08T15:01:00.996Z,"10km NE of Greenbrier, Arkansas",earthquake,0.6,0.6,1.369,6,reviewed,nm,nm
2011-01-08T00:10:16.600Z,2011,1,8,0,37.288,-121.663,us,California,Santa Clara County,3.956,4.1,mh,7,125,0.05597,0.33,ci,ci10869517,2016-03-10T18:58:40.357Z,"16km E of Seven Trees, CA",earthquake,1.85,2.88,,0,reviewed,ci,ci
2011-01-22T19:21:06.220Z,2011,1,22,19,38.525,-118.406,us,Nevada,Mineral County,3.838,4.1,mh,7,257,0.9556,0.65,ci,ci14920564,2016-03-10T11:17:25.885Z,"19km E of Hawthorne, NV",earthquake,9.91,31.61,,0,reviewed,ci,ci
2011-02-18T08:13:35.340Z,2011,2,18,8,35.2713333,-92.3775,us,Arkansas,Faulkner County,6.21,4.1,mw,16,74,0.02464,0.19,nm,nm608397,2016-04-08T12:39:18.386Z,"4km NNE of Greenbrier, Arkansas",earthquake,0.5,0.4,0.823,3,reviewed,nm,nm
2011-04-17T00:55:48.370Z,2011,4,17,0,38.3011667,-118.7933333,us,Nevada,Mineral County,7.681,4.1,mh,10,239,0.6099,0.36,ci,ci10927253,2016-03-10T20:57:51.727Z,"29km SSW of Hawthorne, NV",earthquake,3.31,31.61,,0,reviewed,ci,ci
2011-05-12T16:23:48.980Z,2011,5,12,16,38.419,-118.717,us,Nevada,Mineral County,-2.407,4.1,mh,0,,0.5667,,ci,ci14984004,2016-03-10T19:09:33.654Z,"14km SW of Hawthorne, NV",earthquake,,,,0,reviewed,ci,ci
2011-11-01T15:38:22.830Z,2011,11,1,15,35.6806667,-117.6196667,us,California,San Bernardino County,6.124,4.1,ml,42,55,0.1072,0.17,ci,ci15071220,2016-03-10T19:24:59.134Z,"8km NE of Ridgecrest, CA",earthquake,0.25,2.44,0.127,204,reviewed,ci,ci
2012-04-03T07:34:00.000Z,2012,4,3,7,34.635,-95.875,us,Oklahoma,Pittsburg County,5,4.1,mb,91,43.3,,,us,usp000jh6b,2015-03-24T01:38:40.860Z,Oklahoma,earthquake,,,,4,reviewed,tul,us
2012-04-17T20:31:35.090Z,2012,4,17,20,40.974,-124.422,us,California,Humboldt County,19.8,4.1,mwr,122,161,,,us,usp000jj55,2015-01-28T14:35:24.233Z,offshore Northern California,earthquake,,,,,reviewed,nc,brk
2012-09-07T13:23:49.660Z,2012,9,7,13,36.102,-119.9828333,us,California,Kings County,7.9,4.1,mh,25,96,0.4258,0.38,ci,ci15212001,2016-03-11T17:57:02.353Z,"11km N of Kettleman City, CA",earthquake,0.74,31.61,,0,reviewed,ci,ci
2013-01-25T07:01:19.840Z,2013,1,25,7,31.844,-94.3,us,Texas,Shelby County,5,4.1,mblg,172,68,,1.44,us,usc000ev85,2015-01-28T13:49:38.488Z,"11km SE of Timpson, Texas",earthquake,,,,,reviewed,us,us
2013-02-28T15:29:25.890Z,2013,2,28,15,38.024,-118.065,us,Nevada,Esmeralda County,6.2,4.1,ml,137,29,,,us,usc000fecb,2015-01-31T02:36:40.508Z,"73km W of Tonopah, Nevada",earthquake,,,,,reviewed,ren,ren
2013-12-13T07:49:57.400Z,2013,12,13,7,35.8113,-119.8008,us,California,Kern County,22.2,4.1,Mw,,68.4,0.13474729,0.2,nc,nc72119970,2016-03-12T04:06:49.016Z,"23km NNW of Lost Hills, California",earthquake,0.3,0.4,,4,reviewed,nc,nc
2013-12-17T13:28:01.800Z,2013,12,17,13,40.6915,-124.5063,us,California,Humboldt County,17.8,4.1,Mw,,226.8,0.29644404,0.1,nc,nc72125816,2015-05-18T21:56:06.624Z,"24km WNW of Ferndale, California",earthquake,0.4,0.3,,6,reviewed,nc,nc
2014-01-28T16:20:11.400Z,2014,1,28,16,37.3257,-114.1215,us,Nevada,Lincoln County,7.2,4.1,Ml,,82.8,0.23356197,0.19,uu,uu60053232,2016-03-11T20:42:50.394Z,"42km WNW of Ivins, Utah",earthquake,0.5,0.8,0.2,22,reviewed,uu,uu
2014-02-06T19:42:21.000Z,2014,2,6,19,35.526,-121.271,us,California,San Luis Obispo County,3,4.1,Mw,,201.6,0.14373045,0.1,nc,nc72157621,2016-03-11T18:41:14.447Z,"14km SSW of San Simeon, California",earthquake,0.3,0.7,,7,reviewed,nc,nc
2014-02-09T02:16:02.000Z,2014,2,9,2,35.893,-97.292,us,Oklahoma,Logan County,5,4.1,mwr,,,,0.88,us,usc000mlar,2016-09-07T13:17:01.993Z,"6km SSW of Langston, Oklahoma",earthquake,,1.9,0.044,50,reviewed,tul,us
2014-02-15T03:23:38.150Z,2014,2,15,3,33.8166667,-82.092,us,South Carolina,Edgefield County,5.18,4.1,mw,21,110,0.2289,0.38,se,se610610,2016-11-01T17:44:01.903Z,"15km WNW of Edgefield, South Carolina",earthquake,0.6,0.8,0.765,11,reviewed,se,se
2014-03-30T14:09:59.400Z,2014,3,30,14,36.1255,-97.6398,us,Oklahoma,Logan County,3.903,4.1,mwr,,69,,1.01,us,usc000nww4,2015-01-28T14:30:05.872Z,"19km NNW of Crescent, Oklahoma",earthquake,,5.2,0.041,56,reviewed,tul,us
2014-06-02T23:54:19.600Z,2014,6,2,23,40.3455,-124.4202,us,California,Humboldt County,18.4,4.1,Mw,24,244.8,0.10779783,0.12,nc,nc72231201,2015-05-18T22:54:31.957Z,"28km SSW of Ferndale, California",earthquake,0.6,0.3,,6,reviewed,nc,nc
2014-06-18T10:53:02.400Z,2014,6,18,10,35.5956,-97.3924,us,Oklahoma,Oklahoma County,5,4.1,mwr,,,,1.02,us,usc000rhab,2016-01-22T03:42:36.494Z,"8km N of Spencer, Oklahoma",earthquake,,1.9,0.038,68,reviewed,tul,us
2014-10-30T15:16:33.068Z,2014,10,30,15,41.9104,-119.6185,us,Nevada,Washoe County,0,4.1,ml,5,78.5,0.51,0.0942,nn,nn00465678,2015-03-20T18:42:36.437Z,"67km ESE of Lakeview, Oregon",earthquake,3.8684,5.0431,0.34,2,reviewed,nn,nn
2015-01-04T09:56:43.280Z,2015,1,4,9,41.883,-119.6218,us,Nevada,Washoe County,10.205,4.1,mwr,,219,0.147,1.46,us,usc000tbkm,2015-03-27T07:01:42.040Z,"68km ESE of Lakeview, Oregon",earthquake,4.1,2.8,0.031,99,reviewed,nn,us
2015-04-04T13:21:17.000Z,2015,4,4,13,36.1176,-97.5717,us,Oklahoma,Logan County,5.047,4.1,mwr,,,,0.76,us,us10001txk,2015-06-16T01:00:26.040Z,"18km N of Crescent, Oklahoma",earthquake,3.3,5.2,0.044,50,reviewed,tul,us
2015-04-27T22:22:17.900Z,2015,4,27,22,35.918,-97.3256,us,Oklahoma,Logan County,5.279,4.1,mwr,,,,1.22,us,us200029pp,2016-01-22T03:49:32.794Z,"7km WSW of Langston, Oklahoma",earthquake,5,5.6,0.037,71,reviewed,tul,us
2015-05-21T03:15:29.690Z,2015,5,21,3,33.1621667,-115.6425,us,California,Imperial County,5.74,4.1,mw,91,41,0.02677,0.26,ci,ci37166079,2016-03-12T01:00:03.623Z,"13km WNW of Calipatria, CA",earthquake,0.17,0.38,,8,reviewed,ci,ci
2015-06-05T23:12:47.450Z,2015,6,5,23,37.2648,-97.9213,us,Kansas,Harper County,2.35,4.1,mwr,,17,0.054,1,us,us20002mgp,2015-08-10T13:08:21.040Z,"9km ESE of Harper, Kansas",earthquake,3.8,3.9,0.043,53,reviewed,us,us
2015-07-28T01:18:27.200Z,2015,7,28,1,35.9909,-97.5813,us,Oklahoma,Logan County,5.253,4.1,mwr,,71,,0.61,us,us200030nt,2015-12-29T12:13:29.050Z,"4km NNE of Crescent, Oklahoma",earthquake,2.9,4.6,0.049,40,reviewed,tul,us
2015-08-14T21:25:40.600Z,2015,8,14,21,36.8311,-97.8011,us,Oklahoma,Grant County,0.091,4.1,mwr,,43,,1.01,us,us100032ei,2015-11-19T15:36:01.428Z,"6km WNW of Medford, Oklahoma",earthquake,3.8,3.9,0.052,36,reviewed,tul,us
2015-09-18T12:35:16.600Z,2015,9,18,12,35.9931,-96.7997,us,Oklahoma,Payne County,0.208,4.1,mwr,,54,,0.82,us,us20003l6t,2016-05-31T23:35:55.090Z,"3km WNW of Cushing, Oklahoma",earthquake,2.5,6,0.034,82,reviewed,tul,us
2015-11-07T11:11:53.900Z,2015,11,7,11,36.9528,-97.8552,us,Oklahoma,Grant County,5,4.1,mwr,,39,,0.81,us,us10003vin,2016-02-05T03:16:34.040Z,"19km NNW of Medford, Oklahoma",earthquake,3.9,1.9,0.041,56,reviewed,tul,us
2015-11-20T22:40:40.300Z,2015,11,20,22,36.9483,-97.8276,us,Oklahoma,Grant County,5,4.1,mwr,,35,,0.34,us,us10003zyc,2016-02-18T04:48:46.040Z,"17km NNW of Medford, Oklahoma",earthquake,1.2,3.3,0.036,73,reviewed,tul,us
2015-11-25T00:43:50.800Z,2015,11,25,0,36.8393,-98.2691,us,Oklahoma,Alfalfa County,4.864,4.1,mb,,98,,0.54,us,us1000413f,2016-02-18T04:48:54.040Z,"12km NE of Cherokee, Oklahoma",earthquake,3.1,4.8,0.261,4,reviewed,tul,us
2015-12-28T15:10:30.588Z,2015,12,28,15,41.4562,-118.905,us,Nevada,Humboldt County,17.7,4.1,ml,13,83.52,0.83,0.1615,nn,nn00524306,2016-03-18T01:13:05.040Z,"65km SSW of Denio Junction, Nevada",earthquake,2.39,6.7,0.23,9,reviewed,nn,nn
2016-01-03T15:35:23.944Z,2016,1,3,15,41.8685,-119.6,us,Nevada,Washoe County,10.7,4.1,ml,8,76.4,0.168,0.2164,nn,nn00525194,2016-03-28T22:09:34.040Z,"71km ESE of Lakeview, Oregon",earthquake,4.71,3.6,0.24,5,reviewed,nn,nn
2016-01-18T12:55:56.900Z,2016,1,18,12,36.2761,-98.4096,us,Oklahoma,Major County,8.309,4.1,ml,,91,,0.57,us,us10004fbz,2016-04-06T17:30:25.040Z,"6km E of Fairview, Oklahoma",earthquake,2,6.7,,,reviewed,tul,tul
2016-02-23T03:19:52.940Z,2016,2,23,3,34.6943333,-116.2428333,us,California,San Bernardino County,2.35,4.1,mw,94,43,0.07621,0.16,ci,ci37527664,2016-07-21T18:51:04.620Z,"8km WSW of Ludlow, CA",earthquake,0.1,0.31,,6,reviewed,ci,ci
2016-03-22T10:00:45.356Z,2016,3,22,10,38.6555,-118.7841,us,Nevada,Mineral County,10.9,4.1,ml,53,57.31,0.184,0.2403,nn,nn00536804,2016-06-09T21:41:56.040Z,"20km NW of Hawthorne, Nevada",earthquake,0.64,1.1,0.35,33,reviewed,nn,nn
2007-05-22T11:34:13.000Z,2007,5,22,11,35.8345,-120.4351667,us,California,Monterey County,-0.439,4.09,ml,24,62,0.1402,0.31,ci,ci10248905,2016-03-09T02:32:06.867Z,"7km S of Parkfield, CA",earthquake,0.49,2.21,0.157,368,reviewed,ci,ci
2010-06-03T18:10:03.780Z,2010,6,3,18,32.7006667,-115.907,us,California,Imperial County,7.635,4.09,ml,40,69,0.02061,0.17,ci,ci14733516,2016-03-10T23:33:43.297Z,"9km ESE of Ocotillo, CA",earthquake,0.37,0.83,0.141,189,reviewed,ci,ci
2015-05-22T02:53:00.780Z,2015,5,22,2,38.4316667,-122.2503333,us,California,Napa County,12.83,4.09,mw,172,90,0.008049,0.19,nc,nc72453246,2016-02-26T16:22:33.988Z,"10km ENE of Yountville, California",earthquake,0.17,0.23,,5,reviewed,nc,nc
2013-05-15T20:00:06.230Z,2013,5,15,20,33.6583333,-118.3721667,us,California,Los Angeles County,1.083,4.08,mw,69,89,0.08487,0.22,ci,ci15343145,2016-03-16T17:25:04.041Z,"10km S of Rancho Palos Verdes, CA",earthquake,0.31,0.65,,4,reviewed,ci,ci
2014-12-10T13:50:58.204Z,2014,12,10,13,41.8773,-119.6316,us,Nevada,Washoe County,8.8267,4.08,ml,4,76.82,0.143,0.1553,nn,nn00471401,2015-03-20T02:31:47.221Z,"71km ESE of Lakeview, Oregon",earthquake,6.7338,5.9253,0.26,4,reviewed,nn,nn
2000-12-02T08:28:07.470Z,2000,12,2,8,34.2656667,-116.7773333,us,California,San Bernardino County,1.305,4.07,ml,96,19.7,,0.21,ci,ci9169867,2016-04-01T22:03:47.029Z,"6km E of Big Bear City, CA",earthquake,0.21,0.5,0.214,112,reviewed,ci,ci
2001-07-17T12:25:18.950Z,2001,7,17,12,36.043,-117.8721667,us,California,Inyo County,4.1,4.07,ml,24,84,0.08006,0.17,ci,ci9674097,2016-04-02T01:38:07.535Z,"7km E of Coso Junction, CA",earthquake,0.34,19.08,0.217,295,reviewed,ci,ci
2003-12-23T09:41:46.820Z,2003,12,23,9,35.4165,-121.1635,us,California,San Luis Obispo County,6.566,4.07,ml,5,176,,0.21,ci,ci9967541,2016-04-02T10:12:54.436Z,"18km SSW of Cambria, CA",earthquake,2.7,21.54,0.179,18,reviewed,ci,ci
2009-10-03T01:30:31.910Z,2009,10,3,1,36.4026667,-117.8513333,us,California,Inyo County,-0.06,4.07,ml,35,54,0.1525,0.26,ci,ci14519860,2016-03-09T17:24:40.550Z,"19km NE of Olancha, CA",earthquake,0.35,0.87,0.141,398,reviewed,ci,ci
2013-02-28T15:29:25.970Z,2013,2,28,15,38.0611667,-118.058,us,Nevada,Esmeralda County,3.614,4.07,ml,9,256,0.2204,0.2,ci,ci11250138,2016-03-11T07:13:25.676Z,"71km SE of Hawthorne, NV",earthquake,1.45,31.61,0.14,192,reviewed,ci,ci
2005-05-06T02:29:09.510Z,2005,5,6,2,35.0306667,-119.1813333,us,California,Kern County,10.678,4.06,ml,100,26,,0.42,ci,ci10097009,2016-03-07T19:23:26.141Z,"20km E of Maricopa, CA",earthquake,0.34,0.81,0.25,132,reviewed,ci,ci
2005-05-21T00:39:32.690Z,2005,5,21,0,33.2235,-116.2048333,us,California,San Diego County,14.864,4.06,ml,89,22,0.1373,0.29,ci,ci14146956,2016-03-07T19:24:44.483Z,"11km NW of Ocotillo Wells, CA",earthquake,0.25,0.42,0.253,122,reviewed,ci,ci
